thresholdstart:0.0, thresholdend:1.0, # hashes 1, # space: 66664 # cm buckets 16666 - loss 0 time: 0.04823184013366699 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 1, # space: 66664 # cm buckets 16666 - loss 1.2705582678836764 time: 0.03371620178222656 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 1, # space: 66664 # cm buckets 16666 - loss 0.0 time: 0.03401350975036621 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 1, # space: 66664 # cm buckets 16666 - loss 0.0 time: 0.026017427444458008 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 1, # space: 66664 # cm buckets 16666 - loss 3.2992523597951573 time: 0.14284825325012207 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 1, # space: 66664 # cm buckets 16666 - loss 16.505456332951006 time: 2.31235933303833 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 2, # space: 66664 # cm buckets 8333 - loss 0 time: 0.025568008422851562 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 2, # space: 66664 # cm buckets 8333 - loss 0.0 time: 0.01721978187561035 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 2, # space: 66664 # cm buckets 8333 - loss 0.08240288686053916 time: 0.030710220336914062 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 2, # space: 66664 # cm buckets 8333 - loss 0.0 time: 0.02532196044921875 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 2, # space: 66664 # cm buckets 8333 - loss 2.458148207626287 time: 0.17308402061462402 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 2, # space: 66664 # cm buckets 8333 - loss 28.60209732918237 time: 2.1528892517089844 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 3, # space: 66660 # cm buckets 5555 - loss 0 time: 0.039975881576538086 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 3, # space: 66660 # cm buckets 5555 - loss 0.0 time: 0.0523226261138916 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 3, # space: 66660 # cm buckets 5555 - loss 0.0 time: 0.21466684341430664 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 3, # space: 66660 # cm buckets 5555 - loss 0.0 time: 0.24861574172973633 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 3, # space: 66660 # cm buckets 5555 - loss 2.397962278964367 time: 0.3468601703643799 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 3, # space: 66660 # cm buckets 5555 - loss 41.59181094907787 time: 3.977226495742798 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 4, # space: 66656 # cm buckets 4166 - loss 0 time: 0.020215988159179688 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 4, # space: 66656 # cm buckets 4166 - loss 0.030906389301634474 time: 0.035764455795288086 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 4, # space: 66656 # cm buckets 4166 - loss 0.0 time: 0.026292085647583008 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 4, # space: 66656 # cm buckets 4166 - loss 0.0 time: 0.020886898040771484 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 4, # space: 66656 # cm buckets 4166 - loss 2.680245525757008 time: 0.14504313468933105 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 4, # space: 66656 # cm buckets 4166 - loss 54.86450015475085 time: 3.082263708114624 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 1, # space: 133332 # cm buckets 33333 - loss 0 time: 0.024983644485473633 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 1, # space: 133332 # cm buckets 33333 - loss 0.4900870303544895 time: 0.028559207916259766 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 1, # space: 133332 # cm buckets 33333 - loss 0.0 time: 0.0312347412109375 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 1, # space: 133332 # cm buckets 33333 - loss 0.0 time: 0.0256345272064209 sec 
